"cogn_status","subclass","count","proportion"
"Dementia","Astrocyte",1341,0.0728289795253354
"Dementia","Chandelier",143,0.00776625210449139
"Dementia","Endothelial",52,0.00282409167436051
"Dementia","L2/3 IT",3389,0.184054743930918
"Dementia","L4 IT",2128,0.115570520827676
"Dementia","L5 ET",13,0.000706022918590127
"Dementia","L5 IT",2055,0.111605930592516
"Dementia","L5/6 NP",423,0.0229728995818172
"Dementia","L6 CT",200,0.0108618910552327
"Dementia","L6 IT",461,0.0250366588823114
"Dementia","L6 IT Car3",244,0.0132515070873839
"Dementia","L6b",138,0.00749470482811057
"Dementia","Lamp5",609,0.0330744582631836
"Dementia","Lamp5 Lhx6",292,0.0158583609406398
"Dementia","Microglia-PVM",784,0.0425786129365122
"Dementia","OPC",523,0.0284038451094336
"Dementia","Oligodendrocyte",1501,0.0815184923695215
"Dementia","Pax6",151,0.0082007277467007
"Dementia","Pvalb",924,0.0501819366751751
"Dementia","Sncg",305,0.0165643838592299
"Dementia","Sst",560,0.0304132949546516
"Dementia","Sst Chodl",12,0.000651713463313963
"Dementia","VLMC",939,0.0509965785043176
"Dementia","Vip",1226,0.0665833921685765
"No dementia","Astrocyte",1156,0.0473984173192833
"No dementia","Chandelier",171,0.00701135757923654
"No dementia","Endothelial",32,0.00131206691541269
"No dementia","L2/3 IT",5318,0.218049120505146
"No dementia","L4 IT",2255,0.0924597154454877
"No dementia","L5 ET",20,0.000820041822132929
"No dementia","L5 IT",4049,0.166017466890811
"No dementia","L5/6 NP",270,0.0110705645987945
"No dementia","L6 CT",234,0.00959448931895527
"No dementia","L6 IT",522,0.0214030915576694
"No dementia","L6 IT Car3",343,0.0140637172495797
"No dementia","L6b",178,0.00729837221698307
"No dementia","Lamp5",650,0.0266513592193202
"No dementia","Lamp5 Lhx6",352,0.0144327360695395
"No dementia","Microglia-PVM",792,0.032473656156464
"No dementia","OPC",629,0.0257903153060806
"No dementia","Oligodendrocyte",2003,0.0821271884866128
"No dementia","Pax6",151,0.00619131575710361
"No dementia","Pvalb",1201,0.0492435114190824
"No dementia","Sncg",403,0.0165238427159785
"No dementia","Sst",930,0.0381319447291812
"No dementia","Sst Chodl",21,0.000861043913239575
"No dementia","VLMC",1068,0.0437902333018984
"No dementia","Vip",1641,0.0672844315060068
"Reference","Astrocyte",55,0.0157909847832328
"Reference","Chandelier",23,0.00660350272753374
"Reference","Endothelial",1,0.000287108814240597
"Reference","L2/3 IT",735,0.211024978466839
"Reference","L4 IT",396,0.113695090439276
"Reference","L5 ET",13,0.00373241458512776
"Reference","L5 IT",477,0.136950904392765
"Reference","L5/6 NP",83,0.0238300315819696
"Reference","L6 CT",54,0.0155038759689922
"Reference","L6 IT",149,0.042779213321849
"Reference","L6 IT Car3",123,0.0353143841515935
"Reference","L6b",75,0.0215331610680448
"Reference","Lamp5",82,0.023542922767729
"Reference","Lamp5 Lhx6",65,0.0186620729256388
"Reference","Microglia-PVM",34,0.0097616996841803
"Reference","OPC",56,0.0160780935974734
"Reference","Oligodendrocyte",192,0.0551248923341947
"Reference","Pax6",14,0.00401952339936836
"Reference","Pvalb",263,0.0755096181452771
"Reference","Sncg",48,0.0137812230835487
"Reference","Sst",308,0.0884295147861039
"Reference","Sst Chodl",4,0.00114843525696239
"Reference","VLMC",2,0.000574217628481194
"Reference","Vip",231,0.0663221360895779
