"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,3.22368907516239,0.872,0.133,0,"0","LINC00507"
0,3.98821757012488,0.605,0.05,0,"0","LINC01484"
0,3.2925991716201,0.628,0.097,0,"0","AC097512.1"
0,3.22134874577472,0.48,0.057,0,"0","GLP2R"
0,3.26823438323814,0.458,0.053,0,"0","FAM163A"
0,5.74525563378751,0.958,0.139,0,"1","ST18"
0,5.69071086606922,0.738,0.06,0,"1","LINC01608"
0,5.66875312159262,0.493,0.032,0,"1","AC108721.2"
0,5.95135706447832,0.354,0.018,0,"1","LINC01792"
0,5.78877123692073,0.287,0.017,0,"1","SH3TC2-DT"
4.91698648192859e-147,2.01314365835453,0.134,0.384,1.68047846992873e-142,"2","AP1G2"
9.27658668485048e-134,2.07062645463013,0.137,0.374,3.17045903128135e-129,"2","CORO6"
4.35904694432381e-127,2.10459450960709,0.212,0.512,1.48979147416155e-122,"2","KIFC2"
1.66157395348023e-91,2.00994776016422,0.093,0.254,5.67876130080937e-87,"2","NEFM"
2.2052258873374e-90,2.13957262866145,0.171,0.393,7.53680051515304e-86,"2","SNHG25"
0,4.90132541557855,0.866,0.053,0,"3","AL450352.1"
0,5.2771772262464,0.433,0.03,0,"3","FSHR"
0,3.95865688820613,0.355,0.033,0,"3","AC112770.1"
0,3.90235734390365,0.337,0.025,0,"3","AL355672.1"
0,4.17184154919242,0.29,0.014,0,"3","TDRD1"
0,3.57645149324359,0.856,0.161,0,"4","AJ009632.2"
0,3.18492787298298,0.838,0.165,0,"4","COL5A2"
0,3.00221500477333,0.474,0.108,0,"4","LINC01090"
0,3.32422785703999,0.385,0.034,0,"4","AL138694.1"
0,3.37602080127253,0.357,0.031,0,"4","AC110014.1"
0,3.86122305133759,0.654,0.059,0,"5","TRABD2A"
0,3.98640631118433,0.494,0.033,0,"5","AL138927.1"
0,3.79851196259593,0.391,0.032,0,"5","AC021134.1"
0,4.98124944756354,0.329,0.01,0,"5","LINC01680"
0,3.7797648954465,0.311,0.016,0,"5","AC079052.1"
0,4.91062329425212,0.535,0.028,0,"6","SLC22A3"
0,5.38314373390488,0.454,0.01,0,"6","CHRNA2"
0,5.32346891288963,0.439,0.016,0,"6","NPR3"
0,5.72747889550035,0.437,0.016,0,"6","VIP"
0,5.33616028844568,0.278,0.012,0,"6","AJ006995.1"
0,6.41265997878094,0.834,0.036,0,"7","PRDM16"
0,6.57151580818824,0.851,0.059,0,"7","OBI1-AS1"
0,6.35385005921889,0.765,0.057,0,"7","AL137139.2"
0,6.49343572225562,0.454,0.008,0,"7","EMX2"
0,6.33823307727539,0.466,0.035,0,"7","AC012405.1"
0,4.74726273243446,0.877,0.084,0,"8","MYO5B"
0,4.52133480835394,0.669,0.059,0,"8","SULF1"
0,5.55701183824558,0.324,0.013,0,"8","MEPE"
0,4.98932453426309,0.313,0.011,0,"8","LRRC38"
0,4.45615212193718,0.297,0.01,0,"8","PVALB"
0,4.13331916316683,0.669,0.072,0,"9","FLT3"
0,6.37836365973661,0.382,0.015,0,"9","SST"
0,5.16652832104307,0.313,0.015,0,"9","NMU"
0,4.33663881191991,0.348,0.053,0,"9","FBN2"
