"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type"
9.80064343466453e-146,1.38610706881297,0.846,0.668,3.3495659066653e-141,"MT-ND3","L2/3 IT"
7.52530555220208e-125,1.19571524713458,0.868,0.707,2.57192367857611e-120,"MT-CYB","L2/3 IT"
6.00303900635644e-122,1.25493595926471,0.875,0.715,2.05165864120244e-117,"MT-ND4","L2/3 IT"
1.15877122356268e-120,1.24289312357207,0.904,0.755,3.96033241077018e-116,"MT-ATP6","L2/3 IT"
7.25246015159532e-117,1.28590044796625,0.849,0.685,2.47867330601073e-112,"MT-ND1","L2/3 IT"
9.69808908672715e-114,1.16757818623634,0.931,0.82,3.31451590717074e-109,"MT-CO3","L2/3 IT"
1.02248741162926e-107,1.1375644878785,0.817,0.659,3.49455522672533e-103,"MT-ND2","L2/3 IT"
2.86847042049268e-95,0.827494578468451,0.714,0.546,9.80357135611782e-91,"ARL17B","L2/3 IT"
3.81552878834299e-93,0.874731485005728,0.935,0.832,1.30403327399199e-88,"MT-CO1","L2/3 IT"
2.18589343260444e-92,1.08091112522917,0.914,0.805,7.4707279846122e-88,"MT-CO2","L2/3 IT"
6.73151371392673e-87,1.43046029738118,0.497,0.316,2.30062944200874e-82,"MTRNR2L12","L2/3 IT"
1.59713064342716e-85,1.02256716458291,0.687,0.509,5.45851340004102e-81,"MT-ND5","L2/3 IT"
1.11134974811071e-79,-0.601020131695889,0.654,0.806,3.79826003411798e-75,"PDE10A","L2/3 IT"
1.47691534284487e-72,-0.907594602239437,0.478,0.63,5.0476535672409e-68,"AC110296.1","L2/3 IT"
4.43955558719513e-71,-0.53916519512948,0.757,0.83,1.51730691303568e-66,"GOLGA8B","L2/3 IT"
9.42562952255791e-71,-0.617090332816577,0.623,0.764,3.22139740192462e-66,"AC034268.2","L2/3 IT"
2.34729062710107e-68,-0.367626953112575,0.894,0.917,8.02233517624333e-64,"TARBP1","L2/3 IT"
2.52690684122687e-62,1.03354761708897,0.465,0.309,8.63620951126108e-58,"MT-ND4L","L2/3 IT"
5.021280174071e-59,-1.0101262245313,0.356,0.509,1.71612292509225e-54,"AC016042.1","L2/3 IT"
4.44257563688495e-54,-0.978376635550073,0.286,0.433,1.51833907541817e-49,"AC104827.1","L2/3 IT"
3.5855372047219e-53,-0.825777877203016,0.382,0.532,1.22542905045781e-48,"PCDH9-AS2","L2/3 IT"
3.47213542178642e-51,-1.01684100281563,0.338,0.478,1.18667172310395e-46,"AC096576.2","L2/3 IT"
4.94571932959291e-50,-0.862043629940787,0.451,0.588,1.69029849527497e-45,"AC069228.1","L2/3 IT"
1.01997557168609e-49,-1.0367489849323,0.278,0.422,3.48597051135156e-45,"AC096576.3","L2/3 IT"
5.25097366571843e-48,-1.06687857477891,0.322,0.454,1.79462526973259e-43,"AC053513.1","L2/3 IT"
5.01001641413024e-47,-0.538515710349827,0.655,0.752,1.71227330985729e-42,"ALG1L9P","L2/3 IT"
4.34029824251118e-46,-0.809367867258998,0.297,0.438,1.48338373034305e-41,"AC015923.1","L2/3 IT"
5.25229515706077e-46,-0.961240893379893,0.272,0.41,1.79507691582866e-41,"P2RY14","L2/3 IT"
6.6786577474881e-46,-0.946304691899498,0.293,0.43,2.28256485835901e-41,"AC023590.1","L2/3 IT"
2.53094536187887e-45,-0.846640881886163,0.325,0.464,8.65001196329341e-41,"ZFPM2-AS1","L2/3 IT"
2.59879156101095e-45,-1.05363019212978,0.202,0.334,8.88188991806711e-41,"AC005400.1","L2/3 IT"
2.0100706007747e-44,-0.883466875709111,0.356,0.488,6.8698182922677e-40,"AC090579.1","L2/3 IT"
2.79547939616097e-44,-0.844540056123192,0.397,0.525,9.55410993225934e-40,"AC069437.1","L2/3 IT"
4.71848542940478e-44,-1.19318444881364,0.176,0.301,1.61263676520767e-39,"AP003049.2","L2/3 IT"
1.0441902265112e-43,-0.83865844445267,0.339,0.472,3.56872893714734e-39,"TIMP3","L2/3 IT"
1.42872067141766e-42,0.53781617086136,0.734,0.641,4.88293863870412e-38,"JUND","L2/3 IT"
2.30180992644106e-42,-0.473540408217108,0.642,0.736,7.86689578559763e-38,"CTNNA3","L2/3 IT"
2.81124975555318e-42,-0.766081602439822,0.408,0.534,9.60800828955409e-38,"AC027288.3","L2/3 IT"
2.88919380264887e-42,1.15851474559089,0.24,0.132,9.87439765931304e-38,"FP236383.3","L2/3 IT"
7.68326611406376e-42,-0.814990172058331,0.422,0.546,2.62590985980357e-37,"AP001825.1","L2/3 IT"
7.88956996975017e-42,-0.697394971372189,0.406,0.536,2.69641832856152e-37,"AC005753.2","L2/3 IT"
1.3865102446168e-41,-0.76507586563305,0.424,0.552,4.73867606302685e-37,"PDE5A","L2/3 IT"
5.29672025917325e-41,-1.28628695837599,0.116,0.228,1.81026008297764e-36,"SLC22A24","L2/3 IT"
1.21763769468393e-40,-0.99960443217065,0.276,0.407,4.16152034912126e-36,"AC008696.2","L2/3 IT"
1.2912920003245e-40,-0.991531474887854,0.21,0.337,4.41324866950904e-36,"LNX1-AS1","L2/3 IT"
2.95216957698364e-40,-1.06465850702613,0.248,0.37,1.0089629963257e-35,"AC004594.1","L2/3 IT"
5.76869943045725e-40,-1.06418301071985,0.146,0.265,1.97156840434737e-35,"SPON2","L2/3 IT"
1.43733878908149e-39,-1.09772686676312,0.173,0.291,4.9123927794438e-35,"GRM5-AS1","L2/3 IT"
4.55889956174514e-39,-0.74992263311513,0.429,0.545,1.55809510321764e-34,"TMEM179","L2/3 IT"
6.71584204802328e-39,-0.738457845403467,0.464,0.583,2.29527333675292e-34,"KCNMB2-AS1","L2/3 IT"
9.97562150751212e-39,-0.876162926293581,0.205,0.325,3.40936816262242e-34,"AC008056.1","L2/3 IT"
