"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Genetic Information Processing","Translation","hsa03010","Ribosome","91/617","223/9378",0.408071748878924,6.20242603077236,20.8654075105797,3.16510951173269e-50,1.02549548180139e-47,9.2621099395967e-48,"6171/6232/6154/6208/6230/6138/6152/6130/6164/6165/2197/6134/6233/6125/6169/6139/9349/6122/6201/6191/6128/6222/6228/6231/6141/6229/6167/6161/6202/6135/6143/6142/6210/6166/6227/6209/6129/6144/6156/4736/6223/6133/6203/6189/6176/3921/64983/51187/6181/6147/6234/6132/6206/6136/6173/9045/6188/6146/6137/6159/11222/10399/6170/6207/6155/64981/64979/60488/6194/51069/6158/51023/64949/6193/64951/6175/6168/51021/51065/6217/11224/54534/23521/6192/6204/6124/51264/29088/29093/29074/51318",91
"Human Diseases","Infectious disease: viral","hsa05171","Coronavirus disease - COVID-19","76/617","239/9378",0.317991631799163,4.83326664993931,15.9300207825911,4.50536817649753e-33,7.298696445926e-31,6.59206501613849e-31,"6171/6232/6154/6208/6230/6138/6152/6130/6164/6165/2197/6134/6233/6125/6169/6139/9349/6122/6201/6191/6128/6222/6228/6231/6141/6229/6167/6161/6202/6135/6143/6142/6210/6166/6227/6209/6129/6144/6156/4736/6223/6133/6203/6189/6176/3921/51187/6181/6147/6234/6132/6206/6136/6173/9045/6188/6146/6137/6159/6170/6207/6155/6194/6158/6193/6175/6168/7189/51065/6217/11224/23521/6192/6204/3661/6124",76
"Human Diseases","Neurodegenerative disease","hsa05012","Parkinson disease","73/617","268/9378",0.272388059701493,4.1401219187692,13.8405203670451,5.52515869692748e-27,5.96717139268168e-25,5.38945304472224e-25,"1350/7419/6233/7280/522/7388/4714/1345/808/1340/4694/4697/4698/517/292/805/6647/1349/10476/1327/55967/6389/5413/5684/293/7416/7846/516/5713/1347/518/7277/5700/4716/4708/1346/498/4717/506/5708/4725/4701/291/7417/5686/65018/7381/55669/1329/7295/7386/509/3709/515/29796/4711/514/4706/4710/5683/10975/5688/4695/4718/5694/10381/5705/7494/54539/4726/5702/539/801",73
"Metabolism","Energy metabolism","hsa00190","Oxidative phosphorylation","51/617","138/9378",0.369565217391304,5.61715171587626,14.5002470882038,7.27569804193357e-26,5.89331541396619e-24,5.32274751488824e-24,"1350/51382/522/7388/4714/1345/1340/4694/4697/4698/517/1349/10476/1327/55967/6389/9296/516/1355/9550/1347/518/4716/4708/1346/9551/534/498/4717/506/4725/4701/7381/1329/7386/537/509/515/29796/4711/514/4706/4710/529/10975/4695/4718/90423/54539/4726/539",51
"Human Diseases","Neurodegenerative disease","hsa05020","Prion disease","69/617","275/9378",0.250909090909091,3.81365551790187,12.5673207672299,2.94799166338397e-23,1.91029859787281e-21,1.72535091035946e-21,"1350/7419/2902/7280/522/4685/7388/4714/1345/1340/4694/4697/4698/517/292/6647/1349/10476/1327/55967/6389/859/5684/293/7416/7846/516/5713/1347/518/7277/5700/4716/4708/1346/498/4717/506/5708/4725/4701/291/7417/5686/7381/1329/7386/509/3709/515/29796/4711/3312/514/4706/4710/5683/10975/1460/5688/4695/4718/5694/10381/5705/54539/4726/5702/539",69
"Human Diseases","Neurodegenerative disease","hsa05016","Huntington disease","73/617","308/9378",0.237012987012987,3.60244374750047,12.3239737746446,5.86110311309749e-23,3.16499568107264e-21,2.85857309726509e-21,"1350/7419/2902/7280/522/7388/4714/1345/1340/4694/4697/4698/517/292/6647/1349/10476/1327/55967/6389/5684/293/7416/7846/516/5713/5332/1347/518/7277/5700/4716/4708/1346/498/4717/9519/506/5708/10120/4725/4701/291/7417/5686/7381/1329/7386/10540/5438/509/6875/515/29796/4711/6908/514/4706/4710/5683/10975/5688/4695/4718/5694/10381/5705/29982/54539/4726/5702/5440/539",73
"Human Diseases","Neurodegenerative disease","hsa05014","Amyotrophic lateral sclerosis","77/617","368/9378",0.209239130434783,3.18029913325347,11.3233595025444,1.27804992617453e-20,5.91554537257924e-19,5.34282525528599e-19,"1350/5217/2902/7280/522/400916/7388/4714/1345/1340/4694/71/203228/4697/4698/517/643246/6647/1349/10476/1327/55967/29979/6389/5684/7416/7846/516/5713/1347/518/7277/5700/4716/4708/1346/498/4717/506/4747/5708/10120/4725/4701/5686/65018/7381/1329/7386/10540/84557/10762/4686/509/515/79902/29796/4711/514/4706/4710/5683/6396/10975/5688/4695/4718/5694/10381/5705/7494/29982/54539/4726/5702/4741/539",77
"Organismal Systems","Environmental adaptation","hsa04714","Thermogenesis","59/617","235/9378",0.251063829787234,3.81600744853271,11.6016850174376,5.2587592935472e-20,2.12979751388662e-18,1.92359879421858e-18,"1350/522/7388/4714/1345/1340/4694/71/11343/4697/4698/517/1349/10476/1327/55967/23028/6389/516/1355/1347/518/4716/4708/1346/9551/6604/51422/498/4717/506/285521/5571/4725/4701/3845/8193/7381/6194/1329/7386/509/515/29796/4711/514/28958/4706/4710/84987/29078/10975/4695/4718/3991/284184/54539/4726/539",59
"Human Diseases","Cancer: overview","hsa05208","Chemical carcinogenesis - reactive oxygen species","57/617","227/9378",0.251101321585903,3.81657729956661,11.399820826981,2.32330488370879e-19,8.36389758135163e-18,7.55413751662038e-18,"1350/7419/23683/522/7388/4714/1345/1340/4694/4697/4698/517/292/4259/6647/1349/10476/1327/55967/6389/293/7416/52/516/1571/1347/518/4716/4708/1346/498/4717/506/4725/4701/291/7417/3845/7381/1329/7386/509/515/29796/4711/514/4706/4710/2947/10975/4233/4695/4718/54539/4726/873/539",57
"Human Diseases","Cardiovascular disease","hsa05415","Diabetic cardiomyopathy","53/617","205/9378",0.258536585365854,3.92958848875361,11.254483119533,1.11910493080339e-18,3.62589997580299e-17,3.27485442908782e-17,"1350/7419/522/7388/4714/1345/1340/4694/4697/4698/517/292/1349/10476/1327/55967/6389/293/7416/516/5332/1347/518/4716/4708/1346/51660/498/4717/506/4725/4701/291/7417/5162/7381/1329/7040/7386/509/515/29796/4711/514/4706/4710/10975/25874/4695/4718/54539/4726/539",53
"Human Diseases","Neurodegenerative disease","hsa05022","Pathways of neurodegeneration - multiple diseases","86/617","480/9378",0.179166666666667,2.72321717990275,10.2851856112625,2.30721773728477e-18,6.79580497163876e-17,6.13786154033651e-17,"1350/7419/6233/2902/7280/522/7388/4714/1345/808/1340/4694/203228/4697/4698/517/643246/292/805/6647/1349/10476/1327/55967/6389/5413/5684/293/7416/7846/516/5713/5332/1347/518/7277/5700/4716/4708/1346/498/4717/506/4747/5708/10120/4725/4701/291/7417/3845/5686/65018/7381/55669/1329/7386/10540/84557/509/3709/515/29796/4711/514/4706/4710/5683/10975/1460/5688/4695/823/4718/5694/10381/5705/7494/5664/29982/54539/4726/5702/4741/539/801",86
"Human Diseases","Neurodegenerative disease","hsa05010","Alzheimer disease","75/617","388/9378",0.193298969072165,2.93801901451987,10.3464592242402,5.30162897157007e-18,1.43143982232392e-16,1.29285338078639e-16,"1350/7419/2902/7280/522/7388/4714/1345/808/1340/4694/4697/4698/517/292/805/1349/10476/1327/55967/6389/5684/293/7416/7846/516/5713/5332/1347/518/7277/5700/4716/4708/1346/498/4717/506/5708/4725/4701/291/7417/3845/5686/7381/1329/7386/509/3709/515/29796/4711/514/4706/4710/5683/10975/1460/5688/83464/4695/823/4718/5694/10381/5705/7494/5664/29982/54539/4726/5702/539/801",75
"Human Diseases","Endocrine and metabolic disease","hsa04932","Non-alcoholic fatty liver disease","36/617","157/9378",0.229299363057325,3.48520166410307,8.33336013626214,2.14637819066495e-11,5.34943487519572e-10,4.83152337655754e-10,"1350/7388/4714/1345/1340/4694/4697/4698/1349/1327/55967/6389/1571/1347/4716/4708/1346/51422/4717/5571/4725/4701/7381/1329/7040/7386/29796/4711/4706/4710/10975/4695/4718/7494/54539/4726",36
"Human Diseases","Neurodegenerative disease","hsa05017","Spinocerebellar ataxia","24/617","144/9378",0.166666666666667,2.53322528363047,4.92028187106658,2.04871534903269e-05,0.000474131266490422,0.000428227719572246,"773/7419/2902/292/5684/293/7416/5713/5332/5700/9519/5708/291/7417/5686/3709/6908/5683/5688/5694/5705/7494/29982/5702",24
"Genetic Information Processing","Folding, sorting and degradation","hsa03050","Proteasome","12/617","46/9378",0.260869565217391,3.9650482700303,5.34959640777432,2.89434851591817e-05,0.000625179279438324,0.000564651850824737,"5684/5713/5700/5708/5686/10197/5683/51371/5688/5694/5705/5702",12
"Organismal Systems","Nervous system","hsa04723","Retrograde endocannabinoid signaling","24/617","149/9378",0.161073825503356,2.4482177237771,4.72876105152258,3.65591342681554e-05,0.000740322468930147,0.000668647324114948,"773/4714/4694/11343/4697/4698/3763/55967/5332/4716/4708/2559/4717/4725/4701/3709/4711/4706/4710/2785/4695/4718/54539/4726",24
"Human Diseases","Infectious disease: bacterial","hsa05110","Vibrio cholerae infection","11/617","51/9378",0.215686274509804,3.27829154352178,4.32933405556291,0.000387090777849997,0.00737749482490583,0.00666323444224763,"51382/71/9296/375/9550/534/537/10952/529/90423/23480",11
"Metabolism","Global and overview maps","hsa01200","Carbon metabolism","18/617","116/9378",0.155172413793103,2.35852009165595,3.90697265755242,0.000536824969678015,0.00966284945420427,0.00872732991640281,"5223/283871/4190/2026/6389/2805/6120/7086/5162/2653/1743/5631/275/8803/6888/4191/2271/230",18
"Genetic Information Processing","Folding, sorting and degradation","hsa03060","Protein export","8/617","31/9378",0.258064516129032,3.92241334239557,4.32497964074321,0.000682967758309092,0.0116463975627445,0.0105188386044281,"6727/7095/6730/28972/10952/6726/6734/23480",8
"Organismal Systems","Circulatory system","hsa04260","Cardiac muscle contraction","14/617","87/9378",0.160919540229885,2.44587268764321,3.59547397992522,0.00151370375344424,0.0245220008057967,0.0221478759714473,"1350/7388/1345/1340/1349/1327/476/1347/1346/7381/1329/7386/29796/10975",14
"Metabolism","Carbohydrate metabolism","hsa00020","Citrate cycle (TCA cycle)","7/617","30/9378",0.233333333333333,3.54651539708266,3.70719372864579,0.00277049613473796,0.0427447975073857,0.0386064123036167,"4190/6389/5162/1743/8803/4191/2271",7
"Metabolism","Global and overview maps","hsa01230","Biosynthesis of amino acids","12/617","75/9378",0.16,2.43189627228525,3.30391130172361,0.00337542826546361,0.0497108526368277,0.0448980410430088,"5223/5053/2026/384/2805/6120/27430/7086/5631/6888/230/29920",12
