"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Genetic Information Processing","Translation","hsa03010","Ribosome","25/87","223/9378",0.112107623318386,12.0844286376991,16.2105191359878,7.80144117255594e-21,1.19362049940106e-18,1.14147402419503e-18,"6139/6138/6201/6122/6232/6170/6169/6230/6125/6208/6234/6144/6202/6137/6152/6136/6154/6233/6171/6222/6189/6164/51264/6143/6129",25
"Human Diseases","Infectious disease: viral","hsa05171","Coronavirus disease - COVID-19","24/87","239/9378",0.100418410041841,10.8244120617516,14.8873204174339,7.36236299891838e-19,5.63220769417256e-17,5.38614977289292e-17,"6139/6138/6201/6122/6232/6170/6169/6230/6125/6208/6234/6144/6202/6137/6152/6136/6154/6233/6171/6222/6189/6164/6143/6129",24
"Human Diseases","Cancer: overview","hsa05208","Chemical carcinogenesis - reactive oxygen species","10/87","227/9378",0.0440528634361234,4.74859486556281,5.53232278471173,4.43634357505459e-05,0.00226253522327784,0.00216369037520206,"6647/7419/1347/7381/23683/522/1340/10476/7388/196",10
"Human Diseases","Neurodegenerative disease","hsa05012","Parkinson disease","10/87","268/9378",0.0373134328358209,4.02213072568193,4.8571532815586,0.000176735997100386,0.00666791086797506,0.00637660550841785,"6647/7419/1347/7381/7280/6233/522/1340/10476/7388",10
"Human Diseases","Neurodegenerative disease","hsa05020","Prion disease","10/87","275/9378",0.0363636363636364,3.91974921630094,4.75532255239994,0.000217905583920754,0.00666791086797506,0.00637660550841785,"2902/6647/7419/1347/7381/7280/522/1340/10476/7388",10
"Human Diseases","Neurodegenerative disease","hsa05016","Huntington disease","10/87","308/9378",0.0324675324675325,3.49977608598298,4.31651424106913,0.000537144609907383,0.0122962800073403,0.0117590844239442,"2902/6647/7419/1347/7381/7280/522/1340/10476/7388",10
"Human Diseases","Neurodegenerative disease","hsa05014","Amyotrophic lateral sclerosis","11/87","368/9378",0.0298913043478261,3.22207646176912,4.20804976379475,0.000562574902296613,0.0122962800073403,0.0117590844239442,"2902/6647/1347/7381/6432/7280/522/1340/10476/7388/400916",11
"Organismal Systems","Environmental adaptation","hsa04714","Thermogenesis","8/87","235/9378",0.0340425531914894,3.66955245781365,4.010406401828,0.00146752767558562,0.0280664667955749,0.0268403088034738,"1347/7381/5593/522/1340/10476/284184/7388",8
"Metabolism","Energy metabolism","hsa00190","Oxidative phosphorylation","6/87","138/9378",0.0434782608695652,4.68665667166417,4.22178980389214,0.00173209803778713,0.0294456666423813,0.0281592546494049,"1347/7381/522/1340/10476/7388",6
"Human Diseases","Cardiovascular disease","hsa05415","Diabetic cardiomyopathy","7/87","205/9378",0.0341463414634146,3.68074011774601,3.75522792433789,0.00287015348026719,0.0423995016562091,0.0405471670465295,"7419/1347/7381/522/1340/10476/7388",7
"Human Diseases","Neurodegenerative disease","hsa05010","Alzheimer disease","10/87","388/9378",0.0257731958762887,2.77817276928546,3.46154774689999,0.00304833018443333,0.0423995016562091,0.0405471670465295,"2902/57142/7419/1347/7381/7280/522/1340/10476/7388",10
